,Invoice Number,Description,Payment Date,Distribution Amount,Supplier,Project diverted From,Project diverted to
0,1281W0519050001,"Payment of The Arab Contrac- tors' IPC 6F Lot1 of USD 717,083.48 & IPC 5 Lot2 of USD 204,742.15 + charges of USD 35.00 all @ 3,900 Civil works for Tir- inyi Pallisa Kumi/ Pallisa Kamonkoli",28-May-19,"1,229,092,053",The Arab Contractors (Osman Ahmed Osman & Co) (Forex),1319 Kampala Flyover,1281 Tirinyi- Pallisa Kuma/ Kamokoli Road
1,1056W0519060044,"Part payment to CRSG Final pay- ment - Kamwenge F/Portal road bal. 738,906,751",25-Jun-19,"140,853,997",China Railway Seventh Group Co. Limited,1319 Kampala Flyover,Kamwenge FortPortal road
2,1056W0519060044,"Part payment to CRSG Final pay- ment -Kamwenge F/Portal road bal. 738,906,751",25-Jun-19,"25,353,719",China Railway Seventh Group Co. Limited,1319 Kampala Flyover,Kamwenge fortpotal road
3,1056W0519050035,Mota Engil IPC No. 06L (01st install- ment) Civil works and rehabilitation of Ishaka-Katung- uru road (58Km),28-May-19,"39,294,830","Mota Engil Engenharia E Construcao Africa, SA",1319 Kampala Flyover,Ishaka-Ka- tunguru road
4,1276W0519050002,"CCCC IPC 14F USD 1,806,966.70 + USD 35 bank charges @ 3,900.00 Mubende Kakumiro",15-May-19,"7,047,306,630",China Com- munications Construction Company Lim- ited (USD),1319 Kampala Flyover,1276 Mubende- Kakumiro - Kagadi road
5,1281W0519050003,The Arab Contrac- tors IPC 6L for LOT 1 and IPC 5L for lot 2 GOU portion -Pallisa Kumi Lot 1 /Pallisa Kamonkoli Road lot 2,31-May-19,"1,271,321,318",The Arab Contractors (Osman Ahmed Osman & Co.),1319 Kampala Flyover,1281 Tirinyi- Pallisa Kuma/ Kamokoli Road
6,1277W0519060007,"Mota Engil IPC 44a 02nd install- ment payment Euro 270,039.70 @ 4,262.02 + $ 35 @ 3,824.74 Works on KNBP",25-Jun-19,"82,800,000",Mota-Engil Engenharia & Construction S.A,1319 Kampala Flyover,1277 Kampala Northern By- pass phase 2
7,1276W0519050003,CCCC IPC 14L Mubende Kaku- miro,15-May-19,"6,220,079,686",China Com- munication Construction Company Ltd,1319 Kampala Flyover,1276 Mubende- Kakumiro - Kagadi road
