,Output,Planned Activity,Amount (UGX. Billion),Activity Delivery,Audit Remarks
0,"Project 1105: Strengthening Sector Coordination, Planning and ICT - Partially Achieved", , , , 
1,"Strengthening sec- tor coordination, planning and ICT",a) Ministerial ICT Policy developed;,Budget: 1.2 Release: 1.098 Spent: 7.966,Partially Achieved,a) The Ministerial ICT Policy was developed.
2, ,b) Coordinates and mapping of infra- structure on Lake Victoria., ,Not Achieved,"b) Coordinates and mapping of infrastructure identified on Lake Victoria, the activity was not completed."
3, ,c) The ToRs for Min- istrrial ICT policy and Environmental Impact Assessment reviewed report of Portbell and Jinja landing sites com- pleted., ,Achieved,c) The ToRs for Ministrial ICT policy and Environmental Impact Assessment review report for Portbell and Jinja landing sites were provided for audit.
4, ,"d) Feasibility Study and detailed engineering designs for access roads, community jetties and landing sites on L.Victoria com- pleted.", ,Not Achieved,"d) Feasibility study and detailed engineering designs for access roads, community jetties and Landing sites on Lake Victoria were not done since there was no funding from world bank as expected."
5, ,e) National Transport Master Plan conducted and preparation of a Multi modal transport strategy commenced;, ,Partially Achieved,e) The National Transport Master Plan conducted and preparation of the Multi modal transport strategy. The National Transport Master Plan was conducted while the preparation of the Multi Modal transport strategy was not done.
