,Category of outputs,No. of outpu ts asses sed,No of activi ties in the outpu ts,No. of Activi ties fully imple ment ed,No of activiti es partiall y implem ented,No of activiti es not implem ented,Expen diture Amou nt (UGX) Bn
0,Fully implemented outputs,644,"2,422","2,422",0,0,398.2
1,Partially implemented outputs,453,"1,892",873,879,140,588.9
2,Not implemented outputs,44,143,0,11,132,21.9
3,Total,"1,141","4,457","3,295",890,272,"1,009"
