,Details,Revised budget (UGX.Tn),Total warrants (UGX.Tn),Total payments (UGX.Tn),Variance (UGX.Tn),% Varian ce
0,MDAs 2,46.262,43.101,37.608,5.493,12.7
1,LGs,6.286,6.125,5.796,0.329,5.4
2,Total,52.548,49.226,43.404,5.822,11.8
