,3,MATIP II,Coronation Developers (U) Ltd - Installation of VAF Equipment in Soroti,3.94,"The Value Addition Facility was not yet operational, The facility did not have a private operator in place to operationalize it."
0, , ,"Construction/Supply, Installation, Testing and Commissioning of 500 Metric Tonne Capacity Multi Grain Pre-Cleaning, Processing and Storage Complex in Arua Municipality",7.28,"The Works are complete, and the facility is ready for operation. The operator identified but not yet trained, thus not operational."
1, ,Total, ,22.03, 
