,29,North Eastern Road-Corridor Asset Management Project (NERAMP),"243,800,000","79,956,855","163,843,145",Unnamed: 5,Unnamed: 6,Unnamed: 7
0,30,East Africa's Centre’s Of Excellence For Skills And Tertiary Education In Biomedical Sciences-Phase 1,"31,500,000","27,090,000","4,410,000", , , 
1,31,Markets And Agricultural Trade Improvement Programme Project 2, , , ,294.7,280.5,14.2
2,Total,"1,454,328,380","762,962,972","691,365,408",2531.13,1747.39,777.56, 
