,Sn,Project Name,Expected total disbursement as per financing agreement (USD),Actual disbursement as at 30th June 2023 (USD),Undisbursed funds (USD),Expected total disbursement as financing agreement (UGX) Bn per,Actual disbursement as at 30th June 2023 (UGX) Bn,Undisbursed funds (UGX) Bn
0,1,Energy For Rural Transformation Project - Phase III,"146,808,018","125,497,681","21,310,337", , , 
1,2,Energy For Rural Transformation Project Phase III (ERT III-REP),"251,108,273","211,000,054","40,108,220", , , 
2,3,Grid Expansion And Reinforcement Project (GERP),"90,100,000","65,504,250","24,595,750", , , 
3,4,Strengthening The Management Of Oil And Gas Sector,"1,150,286","1,106,447","43,839", , , 
