,Details,Revised budget (UGX Tn),Total warrants (UGX Tn),Variance (UGX Tn),% Unwarranted funds
0,MDAs,46.262,43.101,3.16,6.83
1,LGs,6.286,6.125,0.161,2.56
2,Total,52.548,49.226,3.321,6.32
