Financial Year;Revised Budget;Actual Receipts;Variance;Percentage
2018/2019 68,424,052,397 57,321,631,217 11,102,421,180;;;;Perfomance
;;;;84%
2019/2020 22,975,271,619 17,293,894,416 5,681,377,203 75%;;;;
