Financial year;Total domestic;Total Interest - UGX;% of Interest to;Benchmark
;Revenue - UGX;;revenue;
2020/21;20,199,013,110,066;3,118,535,556,062;15.4;< 12.5
2019/20 17,453,981,414,553 2,475,531,497,733 14.2 < 12.5;;;;
2018/19;17,128,743,726,614;2,005,380,900,988;11.71;< 12.5
2017/18 15,219,588,786,381 1,937,371,886,367 12.73 < 12.5;;;;
