,Sn,Key deliverables,Amount Spent (UGX) Bn,Cumulative % of Actual expenditure
0,1,134937-Human Resource Development and Organizational restructuring,77.07,26
1,2,040680-Urban road construction,52.6,43
2,3,070808-Secondary Education (wage),20.8,49
3,4,"090801-Policies, Laws and strategy development",16.06,55
4,5,"13494-Policy, Planning and Legal",14.9,60
5,6,134940-Communication and Public Relations,13.8,65
6,7,070807-Primary education (wage),10.1,68
