,Unnamed: 0,Planned Project Activities for F/Y 2021/22,Budgeted/Planned Outputs,Actual Output - Nos,Status in %age,Unit measure (UOM) of
0,1.0,447.63 Hectares of land acquired for Right of Way (ROW),447.63,371,83%,Hectares acquired
1,2.0,Preparation implementation Environment safeguards plan and of and social,1.0,1,100%,Approved plan
