,Acronym,Meaning
0,ISSAIs,International Standards of Supreme Audit Institutions
1,INTOSAI,International Organization of Supreme Audit Institutions
2,KCCA,Kampala Capital City Authority
3,KIIDP,Kampala Institutional And Infrastructure Development Project
4,MDA,"Ministries, Departments and Agencies"
5,NSSF,National Social Security Fund
6,NTR,Non-Tax Revenue
7,PAYE,Pay As You Earn
8,PFMA,"Public Finance Management Act, 2015"
9,TAIs,Treasury Accounting Instructions
