,Sn,Name Entity of,Size (hectares),Amount (UGX”000”),Remarks
0,1.0,State House,0.686,"18,003,419",Procurement not planned due to emergency need. was
1,2.0,Uganda Investment Authority,0.81,"2,000,000",The Accounting Officer explained that land budgeted for under non- residential buildings. the
2,3.0,Uganda Revenue Authority,1.563,"443,936",Accounting officer explained the charged to land account. The
3,4.0,Sironko DLG,2.0,"25,134",No response Accounting Officer from
4, ,Total,5.06,"20,472.49", 
