,No,Entity,Total Land Pieces Size (hectares),Unnamed: 3,Un-Titled Land Pieces Size (hectares) Amount Ugx Time taken without Titles,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,1,Ministry of Defence,"0 23,147.41", ,"31 15,585.34 0 0", , , 
1,2,Ministry of Agriculture,62 0, ,59 125.788 0 0, , , 
2,3,NAGRIC,"16 55,169", ,"16 55,169 0 0", , , 
3,4,NARO,90 0, ,14 0 0, , , 
4,5,Uganda Police,"1,272 3,096", ,"1,028 1,894 0 0", , , 
5,6,Uganda Prisons,"170 13,847", ,"113 4,086 0 0", , , 
6,7,KCCA,242 184.818, ,48 37.755 0 0, , , 
7,8,Ministry of Justice and Constitutional Affairs,10 4.5662, ,4 1.7342 0 1.6, , , 
8,9,Judiciary,111 42.783, ,95 34.468 0 0, , , 
9,10,DPP,74 0, ,70 0 0 0, , , 
10,11,State House,23 0, ,19 0 0 0, , , 
11,Directorate of Citizenship & Immigration Control,0 0, ,14 Not defined 0, , , , 
12,13,NFA,544 0, ,37 0 0 0, , , 
13,14,Ministry of Energy,0 0, ,122 0 0 0, , , 
14,15,Makerere University,"32 1,645.04", ,3 309.2 0 0, , , 
15,16,Ministry of Education and Sports,3 9.749, ,1 3.77 0 0, , , 
16,17,Ministry of Water,372 0, ,221 0 0 0, , , 
17,18,Busitema University,"9 1,149.66", ,1 275.01 0 95, , , 
18,19,Gulu University,"13 2,532", ,5 346 0 0, , , 
