,No,Entity,Undeveloped Leases,Unnamed: 3
0, , ,No of Pieces,Size (hectares)
1,1.0,Uganda Police,2,11.9787
2,2.0,Uganda Property Holdings Limited,1,2.023
3,3.0,Gulu DLG,2,5.821
