,Unnamed: 0,Entity,Size (hectares),Direct procurement “Bn”
0,1,Ministry of Agriculture,"1,342.61",36.25
1,2,NAGRIC,27.32,2.43
2,3,Uganda Police,1.2,0.74
3,4,State House,0.686,18.0
4,Directorate of Citizenship & Immigration Control,1.957,0.86, 
5,6,Uganda Land Commission,"2,244",14.5
6,7,Gulu University,318,6.54
7,8,Uganda Revenue Authority,1.563,0.44
8, ,TOTAL,"3,937.336",79.77
