,No,Entity,Budgeted,Release/warrant,Amount spent on Land,Under Absorption
0, , ,Size (hectares),Amount (UGX “Bn”),Amount (UGX “Bn”),Amount (UGX “Bn”)
1,1.0,Ministry of Agriculture,Not specified,36.32,36.25,0.06
2,2.0,Uganda Police,0,11.84,9.43,2.41
3,3.0,Uganda Land Commission,17044,175.25,164.28,10.98
4,4.0,Wakiso DLG,0,0.13,0.06,0.07
5,5.0,Oyam DLG,40.47,0.300,0.02,0.28
6,6.0,Civil Aviation Authority,28.22,9.65,9.43,0.22
7, ,Total,"17,113",233.49,219.47,14.02
