,No,Entity,Un registered Leases,Unnamed: 3
0, , ,No of Pieces,Size (hectares)
1,1.0,Uganda Broadcasting Corporation,10,5.789
2,2.0,Uganda Railways,7,45.32
3,3.0,Uganda Property Holdings Limited,5,15.41
4,4.0,Ministry of Agriculture,3,17
5,5.0,Makerere University,3,0
6,6.0,Mandela National Stadium Ltd,2,22.433
7,7.0,Gulu University,1,1.6
8, ,TOTAL,31,107.552
