,No,Entity,Un registered Leases,Unnamed: 3
0, , ,No of Pieces,Size (hectares)
1,1.0,Uganda Land Commission,419,0
2,2.0,Sironko DLG,123,0
3,3.0,Uganda Broadcasting Corporation,10,5.789
4,4.0,Uganda Railways,7,45.32
5,5.0,Uganda Property Holdings Limited,5,15.41
