,Sn,Entity,Strategic plan,Unnamed: 3,Remarks
0, , ,Size,Amount (UGX)”000”, 
1,1.0,Uganda Police Force,0,"4,948,000",Size of land not in strategic plan.
2,2.0,Uganda Land Commission,0,"95,298,000",Size of land not in strategic plan.
3,3.0,Gulu University,321,0,Cost of land to be acquired not specified in the strategic plan.
4,4.0,Uganda Civil Aviation Authority,55,0,Cost of land to be acquired not specified in the strategic plan.
