,45,Sironko DLG,LG
0,46,Soroti DLG,LG
1,47,Kumi DLG,LG
2,48,Ministry of Health,MDA
3,49,Uganda Railways,MDA
4,50,Civil Aviation Authority,MDA
5,51,Ministry of Works,MDA
6,52,Mulago Hospital,MDA
7,53,Uganda Blood Transfusion Services,MDA
8,54,Uganda Heart Institute,MDA
9,55,Uganda Virus Research Institute,MDA
10,56,Uganda National Roads Authority,MDA
11,57,Butabika Hospital,MDA
