,N o,Entity,Planned,Unnamed: 3
0, , ,Size (hectares),Amount (UGX)”000”
1,1.0,NAGRIC,27.32,2.43
2,2.0,KCCA,8.2,14.69
3,3.0,Directorate of Citizenship & Immigration Control,6.07,2.25
4,4.0,Uganda Investment Authority,0.81,2.00
5,5.0,Oyam DLG,40.47,0.3
6, ,TOTAL,82.87,21.67
