,Revenue Source,Approved Budget,warrants,Variance,%age of performance
0,Local Revenue,"497,453,999","497,004,131","449,868",99.9%
1,Central Government grants,"28,113,411,068","27,467,424,781","645,986,287",98%
2,Transfers from other government units,"2,701,140,418","2,521,461,161","179,679,257",93%
3,External Assistance,"3,008,001,000","451,067,296","2,556,933,704",15%
4,Total,"34,320,006,485","30,936,957,369","3,383,049,116",90%
