,Subject/Area,Issuing Authority,Guideline
0,Transfer of funds to PDM SACCOs,PDM Secretariat,Funds should go direct to PDM SACCO accounts in commercial banks
1, ,PSST,Funds to be sent to entity General Fund Accounts
2,Diversion/ re- allocation of funds,PSST,letter Referenced BPD86/150/01 and dated 20 th May 2022 stated that funds budgeted for under gadgets and tools should be repurposed to the Parish Revolving Fund
3, ,Public Finance Management Regulation,"Regulation 16(1) of the PFMR. 2016 states that an Accounting Officer may request the Minister for approval to vary, within a vote, the amount of money allocated to the vote."
