,Account code,Particulars,Amount (UGX)
0,211101.0,General Staff Salaries,"12,198,466,935"
1,212102.0,Pension for General Civil Service,"2,682,198,164"
2,213004.0,Gratuity Expenses,"1,183,204,586"
3,321617.0,Salary arrears,"14,710,558"
4,321608.0,Pension and gratuity arrears,"709,480,229"
5, ,Total,"16,788,060,472"
