,Loan Agreement,Date Of Signing Agreement,Initial End Date Of Agreement,Grace Period
0,BADEA (40% of LOAN),12 th Oct 2012,31 st March 2015,10 years from 1 st withdrawal of loan amount
1,OFID (50% of LOAN),29 th Jan 2013,31 Dec 2016,5 years from date of signing of agreement
