,Acronym,Meaning
0,BADEA,Arab Bank for Economic Development in Africa
1,GoU,Government of Uganda
2,ISA,International Standards on Auditing
3,ISSAIs,International Standards of Supreme Audit Institutions
4,IESBA,International Ethics Standards Board for Accountants
5,MOFPED,"Ministry of Finance, Planning and Economic Development"
6,UGX,Uganda Shillings
7,UMMDAP,Urban Markets and Marketing Development of Agricultural Products Project
8,US $,United States Dollar
