,A house constructed on URC open space land. No action had been taken by URC,Unnamed: 1
0,"Property was initially rented to Laibi divison, who later rented it out to Awere S S when they left. The school is not paying any rent to URC and yet they have tenants on the property as shown in the picture", 
1,Northern Business Institute occupies 0.618 hectares of property. It has two different fields and a pitch and is not paying rent to URC, 
2,"Property occupies 3.6 acres of land. Has a coca cola store, NRM office, parking yard for lorries and other vehicles, kiosks and other small businesses. The tenant is supposed to pay a small value of UGX 150,000 but is not paying rent.", 
