,School Name,Consistency of allocation of funds by Local Governments to the schools,Unnamed: 2,Unnamed: 3,Ratio of funds utilized against budget,Unnamed: 5,Unnamed: 6,Unnamed: 7
0, ,Yes/No,Score out of 5,% Score,Funds Released,Funds Utilised,% Ratio,Score out of 5
1,Tegot Primary School,No,0,0,"7,507,560","7,507,560",100,5
2,Wii-Aceng Primary School,Yes,5,100,No data,-,0,0
3,Acet Primary School,No,0,0,"9,662,949",0,0,0
