,8),Nyerere Avenue (0.82km): Complete.,Unnamed: 2,Unnamed: 3
0,9),Odida Road (0.24km): Complete., , 
1,10),Timothy Okwera Road (0.25Km): Complete., , 
2,11),Lasto Okech Road (0.50Km): Complete., , 
3,12) 13),Golf-course Road (0.45KM): Complete. Peter Paul Opok Road (0.897km): Complete., , 
4, , , , 
