,Finding,Cause,Implication,Recommendation
0,intended., , , 
1,"(c) Assessment of the fulfilment of environmental and social impact requirements, health and safety (i) Environmental and Social Impact Safeguards, health and safety requirements and actions There were some reports on file indicating compliance to environmental and social safeguards, health and safety of workers during the construction period. The grassing that was supposed to be done around the structure was satisfactorily done from the site inspection.", ,OK,OK
