,Finding,Cause,Implication,Recommendations
0,"(a) Assessment of progress of works against time (i) Assessment of physical progress lag as derived from the current approved revised work program and actual physical progress. According to the contract and commencement order issued on 11 th February, 2019, works were planned to be executed and completed within a period of 4 months from 15 th February, 2019 to 30 th June, 2019. Records on file indicated that works commenced on 15 th February, 2019 and were completed by 06 th June, 2019 implying that three was no physical progress lag.", ,OK,OK
1,(b) Assessment of the existence and effectiveness of internal controls for certification and payment of executed works (i) Presence of detailed measurement sheets Clause 17(4) of the PPDA (contracts) regulations 2014 requires that the actual work done is measured during the performance of a contract and is finally reconciled on effecting payments. The Auditor observed that measurement sheets for the value of works executed were not on the management file.,Poor project management.,Failure to know the actual quantity of work done upon which payment should have been effected.,The Accounting Officer should ensure that detailed measurement sheets are prepared and attached to the payment certificates.
2,"Management Response It is true that at the time of preparation of the certificates of payments, the Engineer relied on the quantities in the Bill of Quantities to prepare the certificates of payment. This came about because of the capacity gaps in the Engineering department. Management is working hard to breach these capacity gaps by recruiting more staff in the Engineering department and planned to support refresher courses for staff in the Engineering department to boost their performance in the subsequent contracts. Attached is the submission letter to District Service Commission of Gulu for recruitment of the principal Engineer.", , , 
3,Auditor’s remarks To be followed up., , , 
