,Output details,Scope as per the Finance Agreement,Scope After Design review,Change after Design review,Remarks
0,Length of Road,92km,92km,-,No change
1,Weighing stations,2,2,-,No change
2,No. of pipe culverts,100,153,53,Increase
3,No. of bridges,5,1,(4),Decrease
4,No. of box culverts,14,40,26,Increase
5,Intersections,2,5,3,Increase
6,Guard rails,"15,415m","20,656m","5,241m",Increase
