,Output details,Expected,Expected (After design review),Status as at 30th June 2022,Percentage Achieved as at 30th June 2022
0,Length of Road,92km,92km,11.1km,12.07%
1,Weighing stations,2,2,0,0%
2,No. of pipe culverts,100,153,24,15.67%
3,No. of bridges,5,1,0,0%
4,No. of box culverts,14,40,5,12.5%
5,Intersections,2,5,0,0%
6,Guard rails,"15,415m","20,656m",0,0%
