,S/No,Planned Project Activities for F/Y 2021/22,Budgeted /Planned Outputs,Actual Output - Nos,Status in %age,Unit of measure (UOM)
0,1.0,and building Monitoring capacity support,12,12.0,100 %,Number progress reports of monthly
1,2.0,20Km constructed equivalents,20,11.1,55.5 %,Kilometers constructed
2,3.0,Land (Compensation) acquired,2,0.5,25%,Kilometers acquired
