Funds repurposed;(56,000,000 );56,000,000;(53,237,683);0;53,237,683;- All funds for gadgets and tools were repurposed to revolving funds. - Repurposed funds from Prodn /Mrkting
Additional PDM funds;0;4,635,568;0;0;0;Additional funding Administrative costs for
Funds available to spend;;107,662,188;0;128,923,919;333,977,723;
