No;Out-put;Activity;Amount- Unspent
1;;Payment of wage, gratuity, pension gratuity arrears and development;5,213,209,486
2;Classroom construction and rehabilitation;Transfers to Palaro Seed School (UGIFT);126,903,429
3;Classroom construction and rehabilitation;Transfers to Sir Samuel Baker Secondary school (UGIFT);1,180,894,413
4;Classroom construction and rehabilitation;Transfers to Laminto P/s (non- wage);62,622,508
5;OPD and other ward Construction and Rehabilitation;Transfers to Omel Apem HCII;598,013,277
