,Sn,Key deliverables,Amount Spent (UGX)Bn,Cumulative percentage of Actual expenditure
0,i.,URF Secretariat operations,6.663,1.5
1,ii.,URF/PPDA Construction house project,7.641,1.2
2,iii.,Donor Funding- Strengthening capacity,-,-
3,iv.,DUCAR,113.700,26
4,v.,City Roads- KCCA,32.301,7.3
5,vi.,National roads- UNRA,282.691,64
6, ,Totals,442.997,100
