,No,Section of the road,Nature of claim
0,1.0,26 +000 to 28 + 000,Palm trees still hindering access to the contractor
1,2.0,110 + 700 to 111 + 500,Land owners stopped resolving of compensation disputes the contractor. Awaiting
2,3.0,108 + 300 to 108 + 600,Land resolving of compensation disputes owners stopped the contractor. Awaiting
3,4.0,125 + 900 to 125 + 940,Land resolving of compensation disputes. owners stopped the contractor. Awaiting
