,Unnamed: 0,Projects Projects Reporting,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Projects Projects Reporting.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0, , ,Output: 71 Acquisitio n of Land by Governme nt,Servicing of KCCA land lease premiums and property rates,No,N/a,"169,9 89","169,989","169,989","169,989",Paid property rates and servicing lease premium on various KCCA properties,N/a,Not quantified,No monitoring reports were prepared,No. Outputs were not appropriately quantified
1, , ,Output: 72 Governme nt Buildings and Service Delivery Infrastruct ure,Non-Residential Buildings,No,N/a,"2,000, 000","2,000,0 00","2,000,00 0","2,000,000",Non-Residential Buildings,N/a,Not quantified,No monitoring reports were prepared,No. Outputs were not appropriately quantified
2, , ,Output: 76 Purchase of Office and ICT Equipment including Software,Retooling (Furniture & Equipment),No,N/a,"163,0 00","382,420","382,420","380,001",Retooling (Furniture & Equipment),N/a,Not quantified,No monitoring reports were prepared,No. Outputs were not appropriately quantified
3,Program: 05 Urban Commercial and Production Services,Subpro gram: 13 Urban Comme rcial and Product ion Service s,Output: 03 Market Access for Urban Agricultur e,"Hold 90 sensitization meetings, select 1485 farmers in the first round to benefit from the program.",Yes,90,"853,5 34","862,831","813,331","779,009","Sensitized & trained 1,382 SACCO executives from 234 SACCOS",0,Fully implement ed,No monitoring reports were prepared,Yes
4, , , ,"Carryout verification visits to 1,485 homes; and approve 1188 farmers to benefit from the program.",Yes,"1,485", , , , ,"Completed verification of 3927(2356F,1571M ) farming units across the city divisions of which 3427(2356F,1370M )",0,Fully implement ed,No monitoring reports were prepared,Yes
5, , , ,"Provide 1,136 farmers with technical support",Yes,"1,136", , , , ,Supported 851 farmers with technical advice in animal production,0,Fully implement ed,No monitoring reports were prepared,Yes
6, , , ,"Procure and distribute inputs to 1188 farming units (12 per parish getting 750,000 per",Yes,12188, , , , ,Distributed inputs for 4661 farm units across the city divisions,0,Fully implement ed,No monitoring reports were prepared,Yes
