,No,Details,Amount UGX,Beneficiary Institution
0,1.0,Due to URA (VAT and PAYE),"1,000,419,174",URA
1,2.0,NSSF contributions,"861,152,214",NSSF
2, ,Total,"1,861,571,388", 
