,UGX,Uganda Shilling
0,UNEB,Uganda National Examination Board
1,URA,Uganda Revenue Authority
2,URF,Uganda Road Fund
3,UWEP,Uganda Women Empowerment Project
4,VFM,Value for Money
5,YLP,Youth Livelihood Program
