,No Year End Amount (UX) % Increase/ decrease,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,1,30 th June 2016,"24,097,096,854", 
1,2,30 th June 2017,"27,329,773,534",13.4%
2,3,30 th June 2018,"27,064,751,206",-1.0%
3,4,30 th June 2019,"24,190,920,671",-10.6%
