,No,Activity,Amount-Unspent (UGX),Causes for failure to spend
0,1.0,"Salary, Pension and Gratuity","435,547,613","Staff under disciplinary cases could not be paid, failure to fill planned staff positions and Pensioners that were not validated."
1,2.0,Seed School - Mulabana,"1,405,970,037",Delayed procurement of the contractor.
2, ,Total,"1,841,520,650", 
