,Unnamed: 0,Administra tive costs (UGX),Gadgets and tools (UGX),Staff costs (UGX),Revolving fund (UGX),Remarks
0,Release,"11,382,651","19,256,182","23,316,028","101,544,270", 
1,Funds repurposed,0,"(19,256,182)","32,417,862","19,256,182","UGX.19,256,182 for gadgets and tools was repurposed to the revolving fund."
2,Funds available to spend,"11,382,651",0,"32,417,862","120,800,452", 
