,Revenue Source,Approved Budget (UGX),Warrants (UGX),Variance (UGX),%age of performanc e
0,Local Revenue,"624,837,273","515,843,345","108,993,928",83%
1,Central Government grants,"16,205,566,265","16,083,344,000","122,222,265",99%
2,Transfers received from other government units,"3,083,545,000","1,484,737,848","1,598,807,152",48%
3,External Assistance,"2,980,709,115","1,171,653,369","1,809,055,746",39%
4,Total,"22,894,657,653","19,255,578,562","3,639,079,091",84%
