,Category,Amount (UGX. Bn),Comment
0,Classified Expenditure,7.46,A separate report will be issued.
1,Parliamentary Commission,10.0,This expenditure was audited and a separate report issued.
2,Embassy of Beijing,0.23,A separate report will be issued.
3,TOTAL,17.69, 
