,S/N,Entity,Amount
0,1.0,Office of the Prime Minister,"9,307,902,542"
1,2.0,Ministry of Health,"2,321,652,400"
2,3.0,Local governments,"5,610,543,023"
3, ,TOTAL,"17,240,097,965"
