,SNO,ENTITY,Total Receipts from Donations,Amount Banked,Amount spent at Source
0,17,Kitgum DLG,"77,990,000","60,000,000","17,990,000"
1,18,Adjumani DLG,"11,839,000",0,"11,839,000"
2,19,Kabarole DLG,"32,650,000","21,490,000","11,160,000"
3,20,Tororo DLG,"90,914,000","80,000,000","10,914,000"
4,21,Oyam DLG,"10,567,000",0,"10,567,000"
5,22,Busia DLG,"10,000,000",0,"10,000,000"
6,23,NAKASONGOLA DLG,"47,930,000","40,000,000","7,930,000"
7,24,Kamwenge DLG,"67,691,600","60,000,000","7,691,600"
8,25,Otuke District,"7,086,000",0,"7,086,000"
9,26,Bulambuli DLG,"66,000,000","60,000,000","6,000,000"
10,27,Moyo DLG,"45,275,000","40,000,000","5,275,000"
11,28,Kaliro DLG,"45,035,000","40,000,000","5,035,000"
12,29,Kapelebyong District,"4,789,000",0,"4,789,000"
13,30,KANUNGU DLG,"24,766,500","20,000,000","4,766,500"
14,31,Bunyangabu DLG,"44,768,700","40,048,000","4,720,700"
15,32,Amuria District,"44,000,000","40,000,000","4,000,000"
16,33,Omoro DLG,"63,820,000","60,000,000","3,820,000"
17,34,Butebo DLG,"43,754,000","40,000,000","3,754,000"
18,35,Kibaale DLG,"44,063,000","40,685,000","3,378,000"
19,36,Nebbi DLG,"63,120,000","60,000,000","3,120,000"
20,37,Obongi DLG,"3,000,000",0,"3,000,000"
21,38,Kyenjojo DLG,"82,770,000","80,000,000","2,770,000"
22,39,Alebtong DLG,"62,500,000","60,000,000","2,500,000"
23,40,MITYANA DLG,"82,500,000","80,000,000","2,500,000"
24,41,Mayuge DLG,"42,400,000","40,000,000","2,400,000"
25,42,Apac DLG,"2,354,000",0,"2,354,000"
26,43,Pakwach DLG,"2,310,000",0,"2,310,000"
27,44,Bukedea District,"2,200,000",0,"2,200,000"
28,45,Zombo DLG,"61,850,000","60,000,000","1,850,000"
29,46,Kiryandongo DLG,"21,550,000","20,000,000","1,550,000"
30,47,Lamwo DLG,"121,230,521","119,730,521","1,500,000"
31,48,Bududa DLG,"1,500,000",0,"1,500,000"
32,49,Namutumba DLG,"41,330,000","40,000,000","1,330,000"
33,50,Luuka DLG,"21,000,000","20,000,000","1,000,000"
34,51,Lwengo DLG,"1,800,000","800,000","1,000,000"
35,52,Maracha DLG,"40,920,000","40,000,000","920,000"
36,53,Madi Okollo DLG,"41,400,000","40,500,000","900,000"
37,54,Ntoroko DLG,"600,000",0,"600,000"
38,55,Kole DLG,"60,500,000","60,000,000","500,000"
39,56,Butaleja DLG,"350,000",0,"350,000"
