,SNO,ENTITY,Total Receipts from Donations,Amount Banked,Amount spent at Source
0,57,Arua DLG,"40,000,000","40,000,000",0
1,58,Yumbe DLG,"60,000,000","60,000,000",0
2,59,Koboko DLG,"20,000,000","20,000,000",0
3,60,Bundibugyo DLG,"60,000,000","60,000,000",0
4,61,Kasese DLG,"100,271,180","100,271,180",0
5,62,Kitagwenda DLG,"20,000,000","20,000,000",0
6,63,Lira DLG,"30,000,000","30,000,000",0
7,64,Pader DLG,"41,060,000","41,060,000",0
8,65,Amuru DLG,"72,810,000","72,810,000",0
9,66,Kwania DLG,"20,000,000","20,000,000",0
10,67,Hoima DLG,"80,000,000","80,000,000",0
11,68,Masindi DLG,"40,000,000","40,000,000",0
12,69,Kagadi DLG,"60,000,000","60,000,000",0
13,70,Kyankwanzi DLG,"40,000,000","40,000,000",0
14,71,Buliisa DLG,"40,000,000","40,000,000",0
15,72,Kikuube DLG,"42,000,000","42,000,000",0
16,73,Jinja DLG,"61,330,000","61,330,000",0
17,74,Iganga DLG,"20,000,000","20,000,000",0
18,75,Buyende DLG,"60,000,000","60,000,000",0
19,76,WAKISO DLG,"60,000,000","60,000,000",0
20,77,BUIKWE DLG,"60,000,000","60,000,000",0
21,78,KAYUNGA DLG,"62,500,000","62,500,000",0
22,79,BUTAMBALA DLG,"30,000,000","30,000,000",0
23,80,BUVUMA DLG,"40,000,000","40,000,000",0
24,81,Lyantonde DLG,"40,000,000","40,000,000",0
25,82,Sembabule DLG,"100,000,000","100,000,000",0
26,83,Rakai DLG,"62,000,000","62,000,000",0
27,84,Kyotera DLG,"60,040,000","60,040,000",0
28,85,Masaka DLG,"40,000,000","40,000,000",0
29,86,Kalungu DLG,"40,000,000","40,000,000",0
30,87,Mubende DLG,"60,000,000","60,000,000",0
31,88,Bukomansimbi DLG,"20,000,000","20,000,000",0
32,89,Manafwa DLG,"20,000,000","20,000,000",0
33,90,Budaka DLG,"46,000,000","46,000,000",0
34,91,Bukwo DLG,"51,100,000","51,100,000",0
35,92,Kibuku DLG,"40,000,000","40,000,000",0
36,93,Sironko DLG,"970,000","970,000",0
37,94,Pallisa DLG,"40,000,000","40,000,000",0
38,95,Kapchorwa DLG,"60,000,000","60,000,000",0
39,96,Kween DLG,"40,000,000","40,000,000",0
40,97,NTUNGAMO DLG,"100,000,000","100,000,000",0
