,Item No.,Item Description,Location,Unit,Measure d Qty,Certifie d Qty,Differenc e (Certified -Audit),Rate,Amount of Overpaymen t,Remarks
0,4) TANK ROAD (0.27KM), , , , , , , , , 
1,23.01(a),Precast concrete Class 30 barrier kerb,ref. ANNEX 3.1.5(b)(iii)_4(a),m,435.8,437.1,1.27,"51,200", ,OK
2,23.17(b),Precast Cover slabs without up stand beam,ref. ANNEX 3.1.5(b)(iii)_4(b),No.,272.0,277.0,5.0,"126,700","633,500",Quantities should be checked to resolve overpayment
3,23.17(c ),Cover slabs with Up stand beam,ref. ANNEX 3.1.5(b)(iii)_4(b),No.,150.0,151.0,1.0,"158,350", ,OK
