,Materials,Test,Auditors Result,Specification (Target subject to Table 4213/1),Comment,Auditor's Remarks
0,Concrete (AC20 Asphalt,"Grading, Passing Sieve (mm)",Average, ,The gradation failed to meet the target requirement together with tolerance,The bitumen content as extracted is high. The mix is likely to bleed.
1, ,28,100,100, , 
2, ,20,100,85.5-94.5, , 
3, ,14,84.6,66.5-73.5, , 
