,No.,Items,Drawings/ Specifications,Field checks/ measurements,Conformity
0,1,External dimensions of the structure,6700x3150mm,6650x3110mm,Ok
1,3,Height of screen wall,2000mm,1950mm,Ok
2,4,Rafters,100x50mm,100x50mm,Ok
3,5,Purlins,75x50mm,75x50mm,Ok
4,6,Walkway,1000mm wide,1180mm wide,No conformity
5,7,Door shutters (No.),900x2100mm (5No.),830x2100mm (5No.),No conformity
6,8,Urinal room,1500x1150mm,1070x1660mm,No conformity
7,9,Size of the septic tank,6260x2460mm,6330x2470mm,Ok
