,Finding,Cause,Implication,Recommendation,Unnamed: 4
0,additional inlet was constructed at the lowest point (0+750 LHS) which drains into a cut-off drain at the edge of the walkway that moves the water to the disposal point at 0+770 LHS. Comment Ok Management Response An Audit, , , , 
1,"Private property walls undermined and could lead to legal suits.  Km 0+480 RHS, 0+760 LHS and several other locations: Soil/ gravel heaped the against private properties Negligence of Contractor", , , ,"The Contractor should be instructed to remove the gravel/ soil heaps and, if required, repair the affected walls."
2,"Comment Ok Management Response For the entire length of the road, the soil/ gravel heaped against private properties was removed Audit", , , , 
