,Laboratory Test Results,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Materials,Test,Auditors Result,Specification (Target subject to Table 4213/1),Comment,Auditor's Remarks
1,Asphalt Concrete (AC20),"Grading, Passing Sieve (mm)",Average, ,The gradation failed to meet the target requirement together with tolerance,The bitumen content as extracted is high. The mix is likely to bleed. addition the ITS test failed and this is likely to affect the durability of the asphalt layer. In
2, ,28,100,100, , 
3, ,20,100,85.5-94.5, , 
4, ,14,81.5,66.5-73.5, , 
5, ,10,67.8,57.0-63.0, , 
6, ,5,45.6,43.7-48.3, , 
7, ,2.36,30.7,34.6-37.4, , 
