,Finding,Unnamed: 1,Unnamed: 2,Cause,Implication,Recommendation,Unnamed: 6
0, , , , , , ,missing covers are replaced
1,Management Response The open pit was a manhole for a streetlight battery. All lights and their accessories were installed and the manholes subsequently covered. Audit Comment Ok, , , , , , 
2,Km 0+413 RHS: Broken up-stand kerb for drain cover. Damaged works, , , , , ,Replace the damaged kerb and reinstate the drain inlet.
3, , , , , , , 
4, , , , , , , 
5,Management Response Damaged slab with upstand was replaced, , , , , , 
