,Finding,Cause,Implication,Recommendation,Unnamed: 4
0, Blocked drain inlets and generally silted rectangular drains arising from Construction debris Debris/ silk in construction debris covered rectangular drains, , , ,The Consultant and the Municipality should ensure that the rectangular drains are thoroughly cleaned by the Contractor before taking- over by the Employer.
1,Management Response All rectangular drains were cleaned by the contractor before taking-over by the employer as shown in the photo below. Comment Ok Audit, , , , 
