,No.,Items,Location Chainage,Unit,Drawings/ Specifications,Field checks/ measurements (averaged where necessary),Conformity
0,9) ODIDA ROAD (0.25KM), , , , , , 
1,1,Kerb-Kerb road width,0+060,m,9.55,9.56,OK
2, , ,0+160,m,9.55,9.54,Ok
3, , ,0+200,m,9.55,9.53,Ok
4, , ,0+220,m,9.55,9.54,Ok
