,Project,Output,Approved budget,Cumulative percentage share of the total sampled approved budget
0,Project:1512 Uganda National Airline Project,Output: 52 Rehabilitation of Upcountry Aerodromes (CAA),"18,600,000,000",3.3
1, ,Output: 75 Purchase of Motor Vehicles and Other Transport Equipment,"539,719,100,000",100.0
