,Entity,Contrition to the construction contractor (UGX),to consultant Contribution the (UGX),Total contribution UGX)
0,URF,"6,358,636,909","592,607,974","6,951,244,883"
1,PPDA,"10,416,893,082","982,246,151","11,399,139,233"
2,Totals,"16,775,529,991","1,574,854,125","18,350,384,116"
