,S/No,Contract/Project name,Overpayment
0,1,Kapchorwa-Suam,"20,594,809.19"
1,2,Tirinyi-Pallisa-Kumi,0
2,3,Pallisa-Kamonkoli,0
3,4,Mpigi Town Roads (20km,"126,896,449.94"
4,5,Kigumba-Bulima,"49,129,125"
5,6,Namunsi – Sironko – Muyembe Kasalem (PHASE II),"6,168,276"
6,7,Kitala-Gerenge (in-house construction),0
7,8,Rukungiri-Kihihi-Ishasha/Kanungu,"29,081,818"
8,TOTAL (UGX), ,"231,870,478.13"
9,9 Kampala Northern Bypass II (Capacity Improvement), ,"EUR 47,469.01"
