,Details,Total Budget (UGX),Balance FY-2021 (UGX),Variance (UGX)
0,Pension/Gratuity arrears,0,0,0
1,Pension for the year,"7,394,692,355","10,090,095,023","2,695,402,668"
2,Gratuity for the year,"4,909,167,610","4,120,928,482","(788,239,128)"
3,Total,"12,303,859,965","14,211,023,505", 
