,Subject/Area,Areas of Contradiction
0,Transfer of funds to PDM SACCO,PDM Guidelines by Secretariat - Funds should go direct to PDM SACCO accounts in commercial banks Guidance by PSST - Funds to be sent to entity General Fund Accounts
1,Recruitment of Parish Model Chiefs,"KCCA recruited Assistant Ward Administrators for Parish Model on three months contract, which expired on 30 th September 2022, contrary to the recommended three-year contract."
